"#","Region","Country/Territory","2000","2011","2021","2030","2045","Type"
"1","Africa","Africa","2,532.9","14,700.0","23,633.9","33,446.0","55,254.4","Region"
"2","Europe","Europe","22,373.1","52,770.8","61,425.1","67,000.0","69,000.0","Region"
"3","Middle East and North Africa","Middle East and North Africa","17,007.6","32,600.0","72,671.9","95,000.0","135,700.0","Region"
"4","North America and Caribbean","North America and Caribbean","21,375.1","37,700.0","50,547.0","57,000.0","63,000.0","Region"
"5","South and Central America","South and Central America","8,553.3","25,121.5","32,497.1","40,000.0","49,000.0","Region"
"6","South-East Asia","South-East Asia","34,882.2","71,406.9","90,204.5","113,300.0","151,500.0","Region"
"7","Western Pacific","Western Pacific","44,097.9","131,895.1","205,640.2","238,300.0","260,200.0","Region"
"8","Middle East and North Africa","Afghanistan","-","818.3","1,606.7","2,172.8","3,530.7","Country"
"9","Europe","Albania","94.3","64.1","241.1","261.4","258.2","Country"
"10","Middle East and North Africa","Algeria","-","1,435.1","2,013.0","2,527.5","3,497.9","Country"
"11","Western Pacific","American Samoa","-","-","7.8","8.4","8.9","Country"
"12","Europe","Andorra","-","4.8","8.0","8.7","8.9","Country"
"13","Africa","Angola","-","185.3","584.5","830.4","1,453.6","Country"
"14","North America and Caribbean","Anguilla","-","185.3","-","-","-","Country"
"15","North America and Caribbean","Antigua and Barbuda","-","7.3","8.5","10.2","11.7","Country"
"16","South and Central America","Argentina","760.9","1,531.8","1,806.8","2,086.0","2,552.0","Country"
"17","Europe","Armenia","-","191.7","133.6","153.6","155.4","Country"
"18","North America and Caribbean","Aruba","5.0","11.7","4.1","3.9","3.7","Country"
"19","Western Pacific","Australia","781.3","1,292.1","1,491.8","1,693.0","1,935.2","Country"
"20","Europe","Austria","232.3","571.0","447.1","477.6","497.3","Country"
"21","Europe","Azerbaijan","-","167.1","397.1","499.3","573.6","Country"
"22","North America and Caribbean","Bahamas","15.6","28.8","25.6","31.2","36.9","Country"
"23","Middle East and North Africa","Bahrain","56.3","150.8","119.8","156.8","210.2","Country"
"24","South-East Asia","Bangladesh","1,759.7","8,405.6","13,136.3","16,822.0","22,294.1","Country"
"25","North America and Caribbean","Barbados","24.2","29.1","38.8","42.6","41.6","Country"
"26","Europe","Belarus","-","676.6","483.0","526.6","481.9","Country"
"27","Europe","Belgium","307.4","514.9","404.9","437.9","442.6","Country"
"28","North America and Caribbean","Belize","4.0","24.5","32.2","42.5","58.8","Country"
"29","Africa","Benin","-","70.6","50.4","71.5","123.7","Country"
"30","North America and Caribbean","Bermuda","4.8","6.5","6.9","6.8","6.1","Country"
"31","South-East Asia","Bhutan","-","21.5","44.8","59.5","84.2","Country"
"32","South and Central America","Bolivia (Plurinational State of)","165.3","303.3","395.9","502.4","722.8","Country"
"33","Europe","Bosnia and Herzegovina","-","264.9","305.9","322.3","295.8","Country"
"34","Africa","Botswana","-","93.9","69.1","95.6","148.5","Country"
"35","South and Central America","Brazil","3,310.4","12,440.0","15,733.6","19,224.1","23,223.6","Country"
"36","North America and Caribbean","British Virgin Islands","1.4","1.3","1.9","3.1","3.4","Country"
"37","Western Pacific","Brunei Darussalam","-","19.3","35.0","42.0","47.3","Country"
"38","Europe","Bulgaria","254.3","531.6","519.3","492.1","436.6","Country"
"39","Africa","Burkina Faso","-","175.1","164.4","230.7","389.5","Country"
"40","Africa","Burundi","-","94.2","223.1","355.5","637.8","Country"
"41","Africa","Cabo Verde","-","13.1","7.3","9.6","12.1","Country"
"42","Western Pacific","Cambodia","-","199.4","596.0","776.2","1,094.6","Country"
"43","Africa","Cameroon","61.1","501.4","620.8","877.2","1,484.5","Country"
"44","North America and Caribbean","Canada","1,245.5","2,716.1","2,974.0","3,288.2","3,468.5","Country"
"45","North America and Caribbean","Cayman Islands","2.9","4.4","6.1","7.2","8.8","Country"
"46","Africa","Central African Republic","-","58.2","96.9","130.3","223.9","Country"
"47","Africa","Chad","-","197.1","268.3","382.6","700.1","Country"
"48","Europe","Channel Islands","-","7.9","10.8","12.0","12.9","Country"
"49","South and Central America","Chile","131.1","1,190.1","1,747.1","1,965.2","2,215.7","Country"
