"#","Region","Country/Territory","2000","2011","2021","2030","2045","Type"
"1","Africa","Africa","9.5","N/A","59.5","N/A","N/A","Region"
"2","Europe","Europe","N/A","N/A","294.9","N/A","N/A","Region"
"3","Middle East and North Africa","Middle East and North Africa","N/A","N/A","192.5","N/A","N/A","Region"
"4","North America and Caribbean","North America and Caribbean","N/A","N/A","192.5","N/A","N/A","Region"
"5","South and Central America","South and Central America","N/A","N/A","121.3","N/A","N/A","Region"
"6","South-East Asia","South-East Asia","N/A","N/A","244.5","N/A","N/A","Region"
"7","Western Pacific","Western Pacific","N/A","N/A","107.9","N/A","N/A","Region"
"8","Middle East and North Africa","Afghanistan","-","-","3.5","-","-","Country"
"9","Europe","Albania","-","-","0.5","-","-","Country"
"10","Middle East and North Africa","Algeria","-","-","50.8","-","-","Country"
"11","Western Pacific","American Samoa","-","-","0.0","-","-","Country"
"12","Europe","Andorra","-","-","0.0","-","-","Country"
"13","Africa","Angola","-","-","2.4","-","-","Country"
"14","North America and Caribbean","Anguilla","-","-","-","-","-","Country"
"15","North America and Caribbean","Antigua and Barbuda","-","-","0.0","-","-","Country"
"16","South and Central America","Argentina","-","-","8.6","-","-","Country"
"17","Europe","Armenia","-","-","0.5","-","-","Country"
"18","North America and Caribbean","Aruba","-","-","0.0","-","-","Country"
"19","Western Pacific","Australia","-","-","14.9","-","-","Country"
"20","Europe","Austria","-","-","3.6","-","-","Country"
"21","Europe","Azerbaijan","-","-","1.9","-","-","Country"
"22","North America and Caribbean","Bahamas","-","-","0.1","-","-","Country"
"23","Middle East and North Africa","Bahrain","-","-","0.1","-","-","Country"
"24","South-East Asia","Bangladesh","-","-","5.9","-","-","Country"
"25","North America and Caribbean","Barbados","-","-","0.0","-","-","Country"
"26","Europe","Belarus","-","-","1.1","-","-","Country"
"27","Europe","Belgium","-","-","4.3","-","-","Country"
"28","North America and Caribbean","Belize","-","-","0.1","-","-","Country"
"29","Africa","Benin","-","-","0.5","-","-","Country"
"30","North America and Caribbean","Bermuda","-","-","0.0","-","-","Country"
"31","South-East Asia","Bhutan","-","-","0.1","-","-","Country"
"32","South and Central America","Bolivia (Plurinational State of)","-","-","0.9","-","-","Country"
"33","Europe","Bosnia and Herzegovina","-","-","0.5","-","-","Country"
"34","Africa","Botswana","-","-","0.1","-","-","Country"
"35","South and Central America","Brazil","-","-","92.4","-","-","Country"
"36","North America and Caribbean","British Virgin Islands","-","-","0.0","-","-","Country"
"37","Western Pacific","Brunei Darussalam","-","-","0.0","-","-","Country"
"38","Europe","Bulgaria","-","-","1.1","-","-","Country"
"39","Africa","Burkina Faso","-","-","0.3","-","-","Country"
"40","Africa","Burundi","-","-","0.6","-","-","Country"
"41","Africa","Cabo Verde","-","-","0.0","-","-","Country"
"42","Western Pacific","Cambodia","-","-","0.6","-","-","Country"
"43","Africa","Cameroon","-","-","1.5","-","-","Country"
"44","North America and Caribbean","Canada","-","-","19.8","-","-","Country"
"45","North America and Caribbean","Cayman Islands","-","-","0.0","-","-","Country"
"46","Africa","Central African Republic","-","-","0.0","-","-","Country"
"47","Africa","Chad","-","-","0.1","-","-","Country"
"48","Europe","Channel Islands","-","-","0.1","-","-","Country"
"49","South and Central America","Chile","-","-","6.0","-","-","Country"
"50","Western Pacific","China","-","-","56.0","-","-","Country"
"51","Western Pacific","China, Hong Kong SAR","-","-","0.5","-","-","Country"
"52","Western Pacific","China, Macao SAR","-","-","0.0","-","-","Country"
"53","South and Central America","Colombia","-","-","3.2","-","-","Country"
"54","Africa","Comoros","-","-","0.0","-","-","Country"
"55","Africa","Congo","-","-","0.5","-","-","Country"
"56","Western Pacific","Cook Islands","-","-","-","-","-","Country"
"57","South and Central America","Costa Rica","-","-","0.3","-","-","Country"
"58","Europe","Croatia","-","-","1.3","-","-","Country"
"59","South and Central America","Cuba","-","-","0.5","-","-","Country"
"60","North America and Caribbean","Curaçao","-","-","0.0","-","-","Country"
"61","Europe","Cyprus","-","-","0.4","-","-","Country"
"62","Europe","Czechia","-","-","4.3","-","-","Country"
"63","Africa","Côte d'Ivoire","-","-","1.0","-","-","Country"
"64","Western Pacific","Democratic People's Republic of Korea","-","-","2.7","-","-","Country"
"65","Africa","Democratic Republic of the Congo","-","-","2.2","-","-","Country"
"66","Europe","Denmark","-","-","3.1","-","-","Country"
"67","Africa","Djibouti","-","-","0.4","-","-","Country"
"68","North America and Caribbean","Dominica","-","-","0.0","-","-","Country"
"69","South and Central America","Dominican Republic","-","-","0.2","-","-","Country"
"70","South and Central America","Ecuador","-","-","1.3","-","-","Country"
"71","Middle East and North Africa","Egypt","-","-","12.2","-","-","Country"
"72","South and Central America","El Salvador","-","-","0.7","-","-","Country"
"73","Africa","Equatorial Guinea","-","-","0.1","-","-","Country"
"74","Africa","Eritrea","-","-","1.9","-","-","Country"
"75","Europe","Estonia","-","-","0.5","-","-","Country"
"76","Africa","Eswatini","-","-","0.1","-","-","Country"
"77","Africa","Ethiopia","-","-","2.4","-","-","Country"
"78","Europe","Faroe Islands","-","-","0.0","-","-","Country"
"79","Western Pacific","Fiji","-","-","0.0","-","-","Country"
"80","Europe","Finland","-","-","5.4","-","-","Country"
"81","Europe","France","-","-","27.1","-","-","Country"
"82","South and Central America","French Guiana","-","-","-","-","-","Country"
"83","Western Pacific","French Polynesia","-","-","0.0","-","-","Country"
"84","Africa","Gabon","-","-","0.2","-","-","Country"
"85","Africa","Gambia","-","-","0.1","-","-","Country"
"86","Europe","Georgia","-","-","0.4","-","-","Country"
"87","Europe","Germany","-","-","35.1","-","-","Country"
"88","Africa","Ghana","-","-","2.6","-","-","Country"
"89","Europe","Greece","-","-","2.9","-","-","Country"
"90","Europe","Greenland","-","-","0.0","-","-","Country"
"91","North America and Caribbean","Grenada","-","-","0.0","-","-","Country"
"92","North America and Caribbean","Guadeloupe","-","-","-","-","-","Country"
"93","Western Pacific","Guam","-","-","0.0","-","-","Country"
"94","South and Central America","Guatemala","-","-","2.4","-","-","Country"
"95","Africa","Guinea","-","-","0.1","-","-","Country"
"96","Africa","Guinea-Bissau","-","-","0.0","-","-","Country"
"97","North America and Caribbean","Guyana","-","-","0.0","-","-","Country"
"98","North America and Caribbean","Haiti","-","-","0.1","-","-","Country"
"99","Europe","Holy See","-","-","1.3","-","-","Country"
"100","South and Central America","Honduras","-","-","1.3","-","-","Country"
"101","Europe","Hungary","-","-","3.5","-","-","Country"
"102","Europe","Iceland","-","-","0.1","-","-","Country"
"103","South-East Asia","India","-","-","229.4","-","-","Country"
"104","Western Pacific","Indonesia","-","-","8.6","-","-","Country"
"105","Middle East and North Africa","Iran (Islamic Republic of)","-","-","8.2","-","-","Country"
"106","Middle East and North Africa","Iraq","-","-","5.0","-","-","Country"
"107","Europe","Ireland","-","-","3.4","-","-","Country"
"108","Europe","Isle of Man","-","-","0.0","-","-","Country"
"109","Europe","Israel","-","-","4.1","-","-","Country"
"110","Europe","Italy","-","-","13.7","-","-","Country"
"111","North America and Caribbean","Jamaica","-","-","0.2","-","-","Country"
"112","Western Pacific","Japan","-","-","4.5","-","-","Country"
"113","Middle East and North Africa","Jordan","-","-","1.3","-","-","Country"
"114","Europe","Kazakhstan","-","-","1.0","-","-","Country"
"115","Africa","Kenya","-","-","5.3","-","-","Country"
"116","Western Pacific","Kiribati","-","-","0.0","-","-","Country"
"117","Middle East and North Africa","Kuwait","-","-","4.4","-","-","Country"
"118","Europe","Kyrgyzstan","-","-","0.4","-","-","Country"
"119","Western Pacific","Lao People's Democratic Republic","-","-","0.2","-","-","Country"
"120","Europe","Latvia","-","-","0.3","-","-","Country"
"121","Middle East and North Africa","Lebanon","-","-","0.6","-","-","Country"
"122","Africa","Lesotho","-","-","0.1","-","-","Country"
"123","Africa","Liberia","-","-","0.1","-","-","Country"
"124","Middle East and North Africa","Libya","-","-","1.8","-","-","Country"
"125","Europe","Liechtenstein","-","-","0.0","-","-","Country"
"126","Europe","Lithuania","-","-","0.9","-","-","Country"
"127","Europe","Luxembourg","-","-","0.2","-","-","Country"
"128","Africa","Madagascar","-","-","2.6","-","-","Country"
"129","Africa","Malawi","-","-","2.0","-","-","Country"
"130","Western Pacific","Malaysia","-","-","1.0","-","-","Country"
"131","South-East Asia","Maldives","-","-","0.1","-","-","Country"
"132","Africa","Mali","-","-","0.3","-","-","Country"
"133","Europe","Malta","-","-","0.2","-","-","Country"
"134","Western Pacific","Marshall Islands","-","-","0.0","-","-","Country"
"135","North America and Caribbean","Martinique","-","-","-","-","-","Country"
"136","Africa","Mauritania","-","-","0.3","-","-","Country"
"137","South-East Asia","Mauritius","-","-","0.0","-","-","Country"
"138","Africa","Mayotte","-","-","0.0","-","-","Country"
"139","North America and Caribbean","Mexico","-","-","14.0","-","-","Country"
"140","Western Pacific","Micronesia (Federated States of)","-","-","0.8","-","-","Country"
"141","Europe","Monaco","-","-","0.0","-","-","Country"
"142","Western Pacific","Mongolia","-","-","0.2","-","-","Country"
"143","Europe","Montenegro","-","-","0.3","-","-","Country"
"144","Middle East and North Africa","Morocco","-","-","43.3","-","-","Country"
"145","Africa","Mozambique","-","-","1.9","-","-","Country"
"146","Western Pacific","Myanmar","-","-","1.6","-","-","Country"
"147","Africa","Namibia","-","-","0.2","-","-","Country"
"148","Western Pacific","Nauru","-","-","0.0","-","-","Country"
"149","South-East Asia","Nepal","-","-","5.6","-","-","Country"
"150","Europe","Netherlands","-","-","6.4","-","-","Country"
"151","North America and Caribbean","Netherlands Antilles","-","-","-","-","-","Country"
"152","Western Pacific","New Caledonia","-","-","0.0","-","-","Country"
"153","Western Pacific","New Zealand","-","-","2.2","-","-","Country"
"154","South and Central America","Nicaragua","-","-","0.8","-","-","Country"
